manager_name,season_count,unweighted_average_hra,weighted_average_hra
Ronald Koeman,3,0.23733995132541252,0.28251322751322755
Carlo Ancelotti,4,0.4158270135034187,0.25698501872659185
Arsene Wenger,9,0.23390174274360384,0.2557790368271954
Alex McLeish,3,0.2124016070622548,0.2358088235294118
Manuel Pellegrini,4,0.2668563505171941,0.2321062992125984
Steve Bruce,6,0.16090604565952488,0.2088757396449704
Roberto Mancini,4,0.25676799303934933,0.20801923076923073
Harry Redknapp,4,0.07428649735815228,0.20410989010989014
Brendan Rodgers,8,0.17841324997476485,0.1863619227144203
Rafael Benitez,5,0.18042484359264943,0.18273648648648647
Antonio Conte,4,0.19136197076057757,0.17782374100719422
Sir Alex Ferguson,4,0.13874761523199017,0.1775906183368869
Jurgen Klopp,8,0.15220899383554182,0.1765807067812799
Mauricio Pochettino,7,0.1791816394477505,0.17271115745568297
Sam Allardyce,9,0.15832231147190393,0.17071497584541068
Mark Hughes,7,0.19389675606158857,0.1621945432977461
Owen Coyle,3,0.04809868610435644,0.1594764397905759
Pep Guardiola,7,0.12481860990211245,0.15218888888888885
Tony Pulis,8,0.1421188887131366,0.1507317073170732
Jose Mourinho,6,0.12722276690744183,0.1382157123834887
Roberto Martinez,7,0.1640440363089698,0.13575357535753568
Mikel Arteta,4,0.09741104735450948,0.11611344537815126
Chris Hughton,3,0.1353922645460505,0.11256857855361596
Alan Pardew,7,0.18108391202551158,0.11062929061784889
Ralph Hasenhuttl,4,0.14587304303161072,0.10270833333333317
David Moyes,11,0.06267506494599503,0.10172937771345873
Eddie Howe,7,0.1408978996926422,0.0949494949494948
Nuno Espirito Santo,3,0.11885856067131564,0.0937209302325581
Roy Hodgson,9,0.10275705311802054,0.09295737122557718
Ole Gunnar Solskjaer,4,0.10153467881577927,0.09077972709551652
Sean Dyche,8,0.028804718803478437,0.04501869158878511
Marco Silva,3,0.007534045211217224,0.028360215053763453
Paul Lambert,4,0.009736815336197463,0.018172690763052203
Graham Potter,4,0.07490872370277422,0.018110403397027755
Dean Smith,4,0.020802807101342576,0.005330578512396777
