,variable_importance,cumulative_importance
average_home_attendance,0.1782960847934317,0.1782960847934317
skill_moves,0.1119027201940313,0.290198804987463
trend,0.11141134566942609,0.4016101506568891
player_rating,0.10892618978424258,0.5105363404411317
age,0.07702862152300567,0.5875649619641374
basic_position_goalkeeper,0.07700861787175464,0.664573579835892
basic_position_midfielder,0.03460109100209754,0.6991746708379896
basic_position_defender,0.03322913339311444,0.732403804231104
basic_position_attacker,0.024925995158426518,0.7573297993895305
british_nationality,0.021345716387582106,0.7786755157771126
team_name_Arsenal,0.013830422618153227,0.7925059383952658
is_captain,0.010274036852281948,0.8027799752475477
team_name_Queens Park Rangers,0.010165090038136367,0.8129450652856841
team_name_Brighton & Hove Albion,0.009906879783505544,0.8228519450691897
team_name_Liverpool,0.009814674833632476,0.8326666199028222
team_name_Aston Villa,0.009548507412913857,0.8422151273157361
team_name_Crystal Palace,0.009353690002285003,0.8515688173180211
promoted,0.008842764181907775,0.8604115814999289
team_name_Chelsea,0.008339326942580893,0.8687509084425098
team_name_Nottingham Forest,0.008297828686657663,0.8770487371291674
team_name_Sunderland,0.0074872511584982634,0.8845359882876657
team_name_Southampton,0.007452633430200821,0.8919886217178665
team_name_Burnley,0.00736598067725636,0.8993546023951229
team_name_Everton,0.0070275365435442955,0.9063821389386671
team_name_Manchester City,0.006988343868649291,0.9133704828073165
team_name_Blackburn Rovers,0.0060927887948815556,0.919463271602198
team_name_Cardiff City,0.005233668946558217,0.9246969405487562
team_name_Tottenham Hotspur,0.004755892393772071,0.9294528329425282
team_name_Blackpool,0.004740982129546604,0.9341938150720749
team_name_Birmingham City,0.0046964775530371665,0.938890292625112
team_name_Bournemouth,0.0045757971670606756,0.9434660897921727
team_name_Bolton Wanderers,0.0045480319913785055,0.9480141217835513
team_name_West Ham United,0.004321448218577849,0.9523355700021291
team_name_Manchester United,0.004085006875870067,0.9564205768779992
team_name_West Bromwich Albion,0.004044098123520403,0.9604646750015196
team_name_Wolverhampton Wanderers,0.003971037254306552,0.9644357122558261
team_name_Leicester City,0.003962961837864702,0.9683986740936908
team_name_Watford,0.0037097883460532896,0.9721084624397441
team_name_Leeds United,0.003458297166494393,0.9755667596062385
team_name_Fulham,0.0031315666501342872,0.9786983262563728
team_name_Reading,0.002747028927789755,0.9814453551841625
team_name_Swansea City,0.002565352836803823,0.9840107080209664
team_name_Newcastle United,0.0025348873195206287,0.986545595340487
team_name_Middlesbrough,0.001967192096378457,0.9885127874368654
team_name_Wigan Athletic,0.0018006564639618222,0.9903134439008272
team_name_Huddersfield Town,0.0017783164456834212,0.9920917603465106
team_name_Norwich City,0.0017486737897251452,0.9938404341362357
team_name_Brentford,0.0016714312459144662,0.9955118653821502
team_name_Sheffield United,0.0014681561584994054,0.9969800215406496
team_name_Stoke City,0.0011343115752397177,0.9981143331158893
team_name_Hull City,0.001009626248556115,0.9991239593644454
team_name_Portsmouth,0.0008760406355546426,1.0
